Country,Total Tests,Daily Tests,date
Belgium,82,82,2020-03-01
Belgium,399,317,2020-03-02
Belgium,937,538,2020-03-03
Belgium,1638,701,2020-03-04
Belgium,2411,773,2020-03-05
Belgium,3530,1119,2020-03-06
Belgium,4005,475,2020-03-07
Belgium,4488,483,2020-03-08
Belgium,5098,610,2020-03-09
Belgium,5902,804,2020-03-10
Belgium,7010,1108,2020-03-11
Belgium,8448,1438,2020-03-12
Belgium,10972,2524,2020-03-13
Belgium,13143,2171,2020-03-14
Belgium,14412,1269,2020-03-15
Belgium,16304,1892,2020-03-16
Belgium,18559,2255,2020-03-17
Belgium,21273,2714,2020-03-18
Belgium,24668,3395,2020-03-19
Belgium,27788,3120,2020-03-20
Belgium,30064,2276,2020-03-21
Belgium,31478,1414,2020-03-22
Belgium,34800,3322,2020-03-23
Belgium,38775,3975,2020-03-24
Belgium,43057,4282,2020-03-25
Belgium,47420,4363,2020-03-26
Belgium,52350,4930,2020-03-27
Belgium,56200,3850,2020-03-28
Belgium,58619,2419,2020-03-29
Belgium,62720,4101,2020-03-30
Belgium,69152,6432,2020-03-31
Belgium,75043,5891,2020-04-01
Belgium,81131,6088,2020-04-02
Belgium,87849,6718,2020-04-03
Belgium,93217,5368,2020-04-04
Belgium,97045,3828,2020-04-05
Belgium,102885,5840,2020-04-06
Belgium,110394,7509,2020-04-07
Belgium,118366,7972,2020-04-08
Belgium,126590,8224,2020-04-09
Belgium,135127,8537,2020-04-10
Belgium,143275,8148,2020-04-11
Belgium,150562,7287,2020-04-12
Belgium,157260,6698,2020-04-13
Belgium,165423,8163,2020-04-14
Belgium,176407,10984,2020-04-15
Belgium,187149,10742,2020-04-16
Belgium,198449,11300,2020-04-17
Belgium,208761,10312,2020-04-18
Belgium,215961,7200,2020-04-19
Belgium,227877,11916,2020-04-20
Belgium,238755,10878,2020-04-21
Belgium,254343,15588,2020-04-22
Belgium,271722,17379,2020-04-23
Belgium,290790,19068,2020-04-24
Belgium,307983,17193,2020-04-25
Belgium,321862,13879,2020-04-26
Belgium,339334,17472,2020-04-27
Belgium,359705,20371,2020-04-28
Belgium,382365,22660,2020-04-29
Belgium,407235,24870,2020-04-30
Belgium,430786,23551,2020-05-01
Belgium,447268,16482,2020-05-02
Belgium,460698,13430,2020-05-03
Belgium,483897,23199,2020-05-04
Belgium,505418,21521,2020-05-05
Belgium,526180,20762,2020-05-06
Belgium,548211,22031,2020-05-07
Belgium,574093,25882,2020-05-08
Belgium,595105,21012,2020-05-09
Belgium,607406,12301,2020-05-10
Belgium,618461,11055,2020-05-11
Belgium,638976,20515,2020-05-12
Belgium,662116,23140,2020-05-13
Belgium,682379,20263,2020-05-14
Belgium,703263,20884,2020-05-15
Belgium,717688,14425,2020-05-16
Belgium,727791,10103,2020-05-17
Belgium,738501,10710,2020-05-18
Belgium,755202,16701,2020-05-19
Belgium,773961,18759,2020-05-20
Belgium,783839,9878,2020-05-21
Belgium,797117,13278,2020-05-22
Belgium,806344,9227,2020-05-23
Belgium,813366,7022,2020-05-24
Belgium,823348,9982,2020-05-25
Belgium,839573,16225,2020-05-26
Belgium,857345,17772,2020-05-27
Belgium,870435,13090,2020-05-28
Belgium,884051,13616,2020-05-29
Belgium,893780,9729,2020-05-30
Belgium,900575,6795,2020-05-31
Belgium,906013,5438,2020-06-01
Belgium,916669,10656,2020-06-02
Belgium,931469,14800,2020-06-03
Belgium,944311,12842,2020-06-04
Belgium,957394,13083,2020-06-05
Belgium,969259,11865,2020-06-06
Belgium,976566,7307,2020-06-07
Belgium,987579,11013,2020-06-08
Belgium,1002664,15085,2020-06-09
Belgium,1016990,14326,2020-06-10
Belgium,1030931,13941,2020-06-11
Belgium,1044674,13743,2020-06-12
Belgium,1057195,12521,2020-06-13
Belgium,1063440,6245,2020-06-14
Belgium,1075345,11905,2020-06-15
Belgium,1090539,15194,2020-06-16
Belgium,1105851,15312,2020-06-17
Belgium,1119810,13959,2020-06-18
Belgium,1133205,13395,2020-06-19
Belgium,1145739,12534,2020-06-20
Belgium,1152341,6602,2020-06-21
Belgium,1163470,11129,2020-06-22
Belgium,1180853,17383,2020-06-23
Belgium,1199319,18466,2020-06-24
Belgium,1214521,15202,2020-06-25
Belgium,1229075,14554,2020-06-26
Belgium,1240025,10950,2020-06-27
Belgium,1246209,6184,2020-06-28
Belgium,1258201,11992,2020-06-29
Belgium,1274263,16062,2020-06-30
Belgium,1289435,15172,2020-07-01
Belgium,1303042,13607,2020-07-02
Belgium,1315418,12376,2020-07-03
Belgium,1325421,10003,2020-07-04
Belgium,1331221,5800,2020-07-05
Belgium,1341942,10721,2020-07-06
Belgium,1355866,13924,2020-07-07
Belgium,1369725,13859,2020-07-08
Belgium,1382260,12535,2020-07-09
Belgium,1394282,12022,2020-07-10
Belgium,1403572,9290,2020-07-11
Belgium,1409194,5622,2020-07-12
Belgium,1419435,10241,2020-07-13
Belgium,1434505,15070,2020-07-14
Belgium,1450859,16354,2020-07-15
Belgium,1465338,14479,2020-07-16
Belgium,1479331,13993,2020-07-17
Belgium,1489780,10449,2020-07-18
Belgium,1496059,6279,2020-07-19
Belgium,1507960,11901,2020-07-20
Belgium,1519947,11987,2020-07-21
Belgium,1533230,13283,2020-07-22
Belgium,1551515,18285,2020-07-23
Belgium,1570193,18678,2020-07-24
Belgium,1584700,14507,2020-07-25
Belgium,1595681,10981,2020-07-26
Belgium,1610241,14560,2020-07-27
Belgium,1635762,25521,2020-07-28
Belgium,1661242,25480,2020-07-29
Belgium,1687376,26134,2020-07-30
Belgium,1708906,21530,2020-07-31
Belgium,1729324,20418,2020-08-01
Belgium,1741019,11695,2020-08-02
Belgium,1757846,16827,2020-08-03
Belgium,1783297,25451,2020-08-04
Belgium,1809676,26379,2020-08-05
Belgium,1832871,23195,2020-08-06
Belgium,1855697,22826,2020-08-07
Belgium,1872365,16668,2020-08-08
Belgium,1882321,9956,2020-08-09
Belgium,1899357,17036,2020-08-10
Belgium,1925015,25658,2020-08-11
Belgium,1947088,22073,2020-08-12
Belgium,1968947,21859,2020-08-13
Belgium,1987623,18676,2020-08-14
Belgium,2000604,12981,2020-08-15
Belgium,2009536,8932,2020-08-16
Belgium,2027534,17998,2020-08-17
Belgium,2054645,27111,2020-08-18
Belgium,2077733,23088,2020-08-19
Belgium,2101585,23852,2020-08-20
Belgium,2122398,20813,2020-08-21
Belgium,2138029,15631,2020-08-22
Belgium,2146558,8529,2020-08-23
Belgium,2164167,17609,2020-08-24
Belgium,2191207,27040,2020-08-25
Belgium,2215803,24596,2020-08-26
Belgium,2237111,21308,2020-08-27
Belgium,2262225,25114,2020-08-28
Belgium,2281277,19052,2020-08-29
Belgium,2291877,10600,2020-08-30
Belgium,2311534,19657,2020-08-31
Belgium,2339757,28223,2020-09-01
Belgium,2369826,30069,2020-09-02
Belgium,2393843,24017,2020-09-03
Belgium,2420426,26583,2020-09-04
Belgium,2440166,19740,2020-09-05
Belgium,2451129,10963,2020-09-06
Belgium,2474258,23129,2020-09-07
Belgium,2509381,35123,2020-09-08
Belgium,2544428,35047,2020-09-09
Belgium,2580660,36232,2020-09-10
Belgium,2618702,38042,2020-09-11
Belgium,2645828,27126,2020-09-12
Belgium,2664983,19155,2020-09-13
Belgium,2694290,29307,2020-09-14
Belgium,2736593,42303,2020-09-15
Belgium,2783267,46674,2020-09-16
Belgium,2826489,43222,2020-09-17
Belgium,2867917,41428,2020-09-18
Belgium,2894309,26392,2020-09-19
Belgium,2916183,21874,2020-09-20
Belgium,2951115,34932,2020-09-21
Belgium,2996164,45049,2020-09-22
Belgium,3040598,44434,2020-09-23
Belgium,3081153,40555,2020-09-24
Belgium,3118998,37845,2020-09-25
Belgium,3152437,33439,2020-09-26
Belgium,3172832,20395,2020-09-27
Belgium,3201389,28557,2020-09-28
Belgium,3249691,48302,2020-09-29
Belgium,3296385,46694,2020-09-30
Belgium,3338138,41753,2020-10-01
Belgium,3379916,41778,2020-10-02
Belgium,3414156,34240,2020-10-03
Belgium,3432117,17961,2020-10-04
Belgium,3459508,27391,2020-10-05
Belgium,3505390,45882,2020-10-06
Belgium,3559849,54459,2020-10-07
Belgium,3610014,50165,2020-10-08
Belgium,3663765,53751,2020-10-09
Belgium,3711361,47596,2020-10-10
Belgium,3741734,30373,2020-10-11
Belgium,3786269,44535,2020-10-12
Belgium,3845805,59536,2020-10-13
Belgium,3918787,72982,2020-10-14
Belgium,3985035,66248,2020-10-15
Belgium,4053729,68694,2020-10-16
Belgium,4115628,61899,2020-10-17
Belgium,4160317,44689,2020-10-18
Belgium,4216241,55924,2020-10-19
Belgium,4294574,78333,2020-10-20
Belgium,4375389,80815,2020-10-21
Belgium,4455368,79979,2020-10-22
Belgium,4524523,69155,2020-10-23
Belgium,4588128,63605,2020-10-24
Belgium,4627593,39465,2020-10-25
Belgium,4677754,50161,2020-10-26
Belgium,4749204,71450,2020-10-27
Belgium,4827298,78094,2020-10-28
Belgium,4899217,71919,2020-10-29
Belgium,4965236,66019,2020-10-30
Belgium,5019823,54587,2020-10-31
Belgium,5043985,24162,2020-11-01
Belgium,5072913,28928,2020-11-02
Belgium,5127789,54876,2020-11-03
Belgium,5172787,44998,2020-11-04
Belgium,5218508,45721,2020-11-05
Belgium,5257872,39364,2020-11-06
Belgium,5290232,32360,2020-11-07
Belgium,5303534,13302,2020-11-08
Belgium,5325899,22365,2020-11-09
Belgium,5365102,39203,2020-11-10
Belgium,5396891,31789,2020-11-11
Belgium,5424941,28050,2020-11-12
Belgium,5462745,37804,2020-11-13
Belgium,5489214,26469,2020-11-14
Belgium,5503038,13824,2020-11-15
Belgium,5524489,21451,2020-11-16
Belgium,5564822,40333,2020-11-17
Belgium,5601450,36628,2020-11-18
Belgium,5636695,35245,2020-11-19
Belgium,5671094,34399,2020-11-20
Belgium,5692605,21511,2020-11-21
Belgium,5703333,10728,2020-11-22
Belgium,5725877,22544,2020-11-23
Belgium,5768165,42288,2020-11-24
Belgium,5805364,37199,2020-11-25
Belgium,5839544,34180,2020-11-26
Belgium,5873240,33696,2020-11-27
Belgium,5899018,25778,2020-11-28
Belgium,5908646,9628,2020-11-29
Belgium,5932178,23532,2020-11-30
Belgium,5976529,44351,2020-12-01
Belgium,6013183,36654,2020-12-02
Belgium,6047338,34155,2020-12-03
Belgium,6083563,36225,2020-12-04
Belgium,6108311,24748,2020-12-05
Belgium,6118849,10538,2020-12-06
Belgium,6145453,26604,2020-12-07
Belgium,6191347,45894,2020-12-08
Belgium,6232856,41509,2020-12-09
Belgium,6271054,38198,2020-12-10
Belgium,6309639,38585,2020-12-11
Belgium,6339622,29983,2020-12-12
Belgium,6353258,13636,2020-12-13
Belgium,6384715,31457,2020-12-14
Belgium,6437686,52971,2020-12-15
Belgium,6488253,50567,2020-12-16
Belgium,6534541,46288,2020-12-17
Belgium,6576820,42279,2020-12-18
Belgium,6609753,32933,2020-12-19
Belgium,6624197,14444,2020-12-20
Belgium,6656679,32482,2020-12-21
Belgium,6708508,51829,2020-12-22
Belgium,6749710,41202,2020-12-23
Belgium,6786601,36891,2020-12-24
Belgium,6799659,13058,2020-12-25
Belgium,6817515,17856,2020-12-26
Belgium,6830944,13429,2020-12-27
Belgium,6859992,29048,2020-12-28
Belgium,6901400,41408,2020-12-29
Belgium,6934077,32677,2020-12-30
Belgium,6964586,30509,2020-12-31
Finland,367,358,2020-02-28
Finland,382,15,2020-02-29
Finland,398,16,2020-03-01
Finland,424,26,2020-03-02
Finland,475,51,2020-03-03
Finland,560,85,2020-03-04
Finland,640,80,2020-03-05
Finland,745,105,2020-03-06
Finland,765,20,2020-03-07
Finland,779,14,2020-03-08
Finland,901,122,2020-03-09
Finland,1029,128,2020-03-10
Finland,1192,163,2020-03-11
Finland,1541,349,2020-03-12
Finland,1950,409,2020-03-13
Finland,2545,595,2020-03-14
Finland,3189,644,2020-03-15
Finland,4057,868,2020-03-16
Finland,5193,1136,2020-03-17
Finland,6218,1025,2020-03-18
Finland,6993,775,2020-03-19
Finland,8279,1286,2020-03-20
Finland,9882,1603,2020-03-21
Finland,10930,1048,2020-03-22
Finland,12246,1316,2020-03-23
Finland,13828,1582,2020-03-24
Finland,15676,1848,2020-03-25
Finland,17513,1837,2020-03-26
Finland,19517,2004,2020-03-27
Finland,20722,1205,2020-03-28
Finland,21309,587,2020-03-29
Finland,22393,1084,2020-03-30
Finland,23524,1131,2020-03-31
Finland,25135,1611,2020-04-01
Finland,27466,2331,2020-04-02
Finland,29157,1691,2020-04-03
Finland,32381,3224,2020-04-04
Finland,34028,1647,2020-04-05
Finland,35999,1971,2020-04-06
Finland,38166,2167,2020-04-07
Finland,41461,3295,2020-04-08
Finland,44010,2549,2020-04-09
Finland,47297,3287,2020-04-10
Finland,48615,1318,2020-04-11
Finland,50204,1589,2020-04-12
Finland,51124,920,2020-04-13
Finland,52349,1225,2020-04-14
Finland,54841,2492,2020-04-15
Finland,58348,3507,2020-04-16
Finland,61058,2710,2020-04-17
Finland,64750,3692,2020-04-18
Finland,67112,2362,2020-04-19
Finland,68956,1844,2020-04-20
Finland,72576,3620,2020-04-21
Finland,76778,4202,2020-04-22
Finland,80442,3664,2020-04-23
Finland,84722,4280,2020-04-24
Finland,87863,3141,2020-04-25
Finland,90348,2485,2020-04-26
Finland,92788,2440,2020-04-27
Finland,96576,3788,2020-04-28
Finland,101026,4450,2020-04-29
Finland,105205,4179,2020-04-30
Finland,108580,3375,2020-05-01
Finland,110063,1483,2020-05-02
Finland,111712,1649,2020-05-03
Finland,113479,1767,2020-05-04
Finland,117250,3771,2020-05-05
Finland,121058,3808,2020-05-06
Finland,124890,3832,2020-05-07
Finland,128212,3322,2020-05-08
Finland,131022,2810,2020-05-09
Finland,132841,1819,2020-05-10
Finland,135049,2208,2020-05-11
Finland,139104,4055,2020-05-12
Finland,143115,4011,2020-05-13
Finland,147011,3896,2020-05-14
Finland,151364,4353,2020-05-15
Finland,154814,3450,2020-05-16
Finland,157126,2312,2020-05-17
Finland,159486,2360,2020-05-18
Finland,164432,4946,2020-05-19
Finland,168128,3696,2020-05-20
Finland,171093,2965,2020-05-21
Finland,173309,2216,2020-05-22
Finland,175939,2630,2020-05-23
Finland,177493,1554,2020-05-24
Finland,179237,1744,2020-05-25
Finland,182875,3638,2020-05-26
Finland,185846,2971,2020-05-27
Finland,188829,2983,2020-05-28
Finland,191631,2802,2020-05-29
Finland,193576,1945,2020-05-30
Finland,194871,1295,2020-05-31
Finland,196556,1685,2020-06-01
Finland,199431,2875,2020-06-02
Finland,202291,2860,2020-06-03
Finland,205089,2798,2020-06-04
Finland,207410,2321,2020-06-05
Finland,209452,2042,2020-06-06
Finland,210414,962,2020-06-07
Finland,212256,1842,2020-06-08
Finland,215206,2950,2020-06-09
Finland,218162,2956,2020-06-10
Finland,221135,2973,2020-06-11
Finland,223631,2496,2020-06-12
Finland,225184,1553,2020-06-13
Finland,226010,826,2020-06-14
Finland,227909,1899,2020-06-15
Finland,230900,2991,2020-06-16
Finland,233630,2730,2020-06-17
Finland,235699,2069,2020-06-18
Finland,237139,1440,2020-06-19
Finland,237886,747,2020-06-20
Finland,238573,687,2020-06-21
Finland,240177,1604,2020-06-22
Finland,242812,2635,2020-06-23
Finland,245142,2330,2020-06-24
Finland,247835,2693,2020-06-25
Finland,250011,2176,2020-06-26
Finland,251567,1556,2020-06-27
Finland,252532,965,2020-06-28
Finland,254228,1696,2020-06-29
Finland,257062,2834,2020-06-30
Finland,259838,2776,2020-07-01
Finland,263607,3769,2020-07-02
Finland,266847,3240,2020-07-03
Finland,269492,2645,2020-07-04
Finland,270806,1314,2020-07-05
Finland,273045,2239,2020-07-06
Finland,277593,4548,2020-07-07
Finland,281993,4400,2020-07-08
Finland,286869,4876,2020-07-09
Finland,291258,4389,2020-07-10
Finland,294554,3296,2020-07-11
Finland,296886,2332,2020-07-12
Finland,299988,3102,2020-07-13
Finland,305339,5351,2020-07-14
Finland,310770,5431,2020-07-15
Finland,315742,4972,2020-07-16
Finland,320850,5108,2020-07-17
Finland,324981,4131,2020-07-18
Finland,327117,2136,2020-07-19
Finland,330413,3296,2020-07-20
Finland,335875,5462,2020-07-21
Finland,340917,5042,2020-07-22
Finland,346394,5477,2020-07-23
Finland,351146,4752,2020-07-24
Finland,354906,3760,2020-07-25
Finland,357191,2285,2020-07-26
Finland,360594,3403,2020-07-27
Finland,366337,5743,2020-07-28
Finland,371876,5539,2020-07-29
Finland,377511,5635,2020-07-30
Finland,383066,5555,2020-07-31
Finland,387264,4198,2020-08-01
Finland,391832,4568,2020-08-02
Finland,397082,5250,2020-08-03
Finland,403901,6819,2020-08-04
Finland,412437,8536,2020-08-05
Finland,419534,7097,2020-08-06
Finland,428349,8815,2020-08-07
Finland,434676,6327,2020-08-08
Finland,440618,5942,2020-08-09
Finland,447878,7260,2020-08-10
Finland,458516,10638,2020-08-11
Finland,470113,11597,2020-08-12
Finland,482220,12107,2020-08-13
Finland,491841,9621,2020-08-14
Finland,502195,10354,2020-08-15
Finland,513153,10958,2020-08-16
Finland,524072,10919,2020-08-17
Finland,536958,12886,2020-08-18
Finland,554100,17142,2020-08-19
Finland,570069,15969,2020-08-20
Finland,586219,16150,2020-08-21
Finland,599050,12831,2020-08-22
Finland,611775,12725,2020-08-23
Finland,626281,14506,2020-08-24
Finland,642431,16150,2020-08-25
Finland,659921,17490,2020-08-26
Finland,677445,17524,2020-08-27
Finland,691611,14166,2020-08-28
Finland,706786,15175,2020-08-29
Finland,720127,13341,2020-08-30
Finland,733243,13116,2020-08-31
Finland,748040,14797,2020-09-01
Finland,765939,17899,2020-09-02
Finland,782811,16872,2020-09-03
Finland,798890,16079,2020-09-04
Finland,813059,14169,2020-09-05
Finland,822589,9530,2020-09-06
Finland,829877,7288,2020-09-07
Finland,841930,12053,2020-09-08
Finland,856143,14213,2020-09-09
Finland,869143,13000,2020-09-10
Finland,883584,14441,2020-09-11
Finland,893914,10330,2020-09-12
Finland,902314,8400,2020-09-13
Finland,911498,9184,2020-09-14
Finland,925083,13585,2020-09-15
Finland,942229,17146,2020-09-16
Finland,960611,18382,2020-09-17
Finland,977502,16891,2020-09-18
Finland,989758,12256,2020-09-19
Finland,1000080,10322,2020-09-20
Finland,1008826,8746,2020-09-21
Finland,1023020,14194,2020-09-22
Finland,1036672,13652,2020-09-23
Finland,1053235,16563,2020-09-24
Finland,1067865,14630,2020-09-25
Finland,1082625,14760,2020-09-26
Finland,1091603,8978,2020-09-27
Finland,1102866,11263,2020-09-28
Finland,1114637,11771,2020-09-29
Finland,1130038,15401,2020-09-30
Finland,1142172,12134,2020-10-01
Finland,1154684,12512,2020-10-02
Finland,1166792,12108,2020-10-03
Finland,1176646,9854,2020-10-04
Finland,1188059,11413,2020-10-05
Finland,1203551,15492,2020-10-06
Finland,1221153,17602,2020-10-07
Finland,1238381,17228,2020-10-08
Finland,1255643,17262,2020-10-09
Finland,1270417,14774,2020-10-10
Finland,1280229,9812,2020-10-11
Finland,1293514,13285,2020-10-12
Finland,1310863,17349,2020-10-13
Finland,1328465,17602,2020-10-14
Finland,1345496,17031,2020-10-15
Finland,1360206,14710,2020-10-16
Finland,1371816,11610,2020-10-17
Finland,1380240,8424,2020-10-18
Finland,1391329,11089,2020-10-19
Finland,1407693,16364,2020-10-20
Finland,1425341,17648,2020-10-21
Finland,1442798,17457,2020-10-22
Finland,1459170,16372,2020-10-23
Finland,1470799,11629,2020-10-24
Finland,1478002,7203,2020-10-25
Finland,1489896,11894,2020-10-26
Finland,1508480,18584,2020-10-27
Finland,1524755,16275,2020-10-28
Finland,1539832,15077,2020-10-29
Finland,1552181,12349,2020-10-30
Finland,1561039,8858,2020-10-31
Finland,1567023,5984,2020-11-01
Finland,1576778,9755,2020-11-02
Finland,1592855,16077,2020-11-03
Finland,1610148,17293,2020-11-04
Finland,1625463,15315,2020-11-05
Finland,1640591,15128,2020-11-06
Finland,1650424,9833,2020-11-07
Finland,1656210,5786,2020-11-08
Finland,1667963,11753,2020-11-09
Finland,1684657,16694,2020-11-10
Finland,1701044,16387,2020-11-11
Finland,1716896,15852,2020-11-12
Finland,1730288,13392,2020-11-13
Finland,1741124,10836,2020-11-14
Finland,1747772,6648,2020-11-15
Finland,1760439,12667,2020-11-16
Finland,1778685,18246,2020-11-17
Finland,1795778,17093,2020-11-18
Finland,1812567,16789,2020-11-19
Finland,1830315,17748,2020-11-20
Finland,1843362,13047,2020-11-21
Finland,1852080,8718,2020-11-22
Finland,1866768,14688,2020-11-23
Finland,1887752,20984,2020-11-24
Finland,1911075,23323,2020-11-25
Finland,1933003,21928,2020-11-26
Finland,1954661,21658,2020-11-27
Finland,1970959,16298,2020-11-28
Finland,1984894,13935,2020-11-29
Finland,1999450,14556,2020-11-30
Finland,2020339,20889,2020-12-01
Finland,2044095,23756,2020-12-02
Finland,2065989,21894,2020-12-03
Finland,2087693,21704,2020-12-04
Finland,2105559,17866,2020-12-05
Finland,2117021,11462,2020-12-06
Finland,2132665,15644,2020-12-07
Finland,2153855,21190,2020-12-08
Finland,2175500,21645,2020-12-09
Finland,2194179,18679,2020-12-10
Finland,2213370,19191,2020-12-11
Finland,2227247,13877,2020-12-12
Finland,2237661,10414,2020-12-13
Finland,2252867,15206,2020-12-14
Finland,2275497,22630,2020-12-15
Finland,2294069,18572,2020-12-16
Finland,2314509,20440,2020-12-17
Finland,2334263,19754,2020-12-18
Finland,2349363,15100,2020-12-19
Finland,2361370,12007,2020-12-20
Finland,2376519,15149,2020-12-21
Finland,2398785,22266,2020-12-22
Finland,2420002,21217,2020-12-23
Finland,2431341,11339,2020-12-24
Finland,2438198,6857,2020-12-25
Finland,2444585,6387,2020-12-26
Finland,2451930,7345,2020-12-27
Finland,2463551,11621,2020-12-28
Finland,2479275,15724,2020-12-29
Finland,2493597,14322,2020-12-30
Finland,2505571,11974,2020-12-31
Ghana,521,206,2020-03-23
Ghana,27346,12735,2020-04-10
Ghana,37954,10608,2020-04-11
Ghana,57000,6281,2020-04-15
Ghana,68591,7675,2020-04-19
Ghana,113497,7407,2020-04-28
Ghana,129461,12412,2020-05-02
Ghana,155201,5253,2020-05-08
Ghana,162184,1683,2020-05-11
Ghana,165433,3249,2020-05-12
Ghana,168685,3252,2020-05-13
Ghana,172623,3938,2020-05-14
Ghana,174077,1454,2020-05-15
Ghana,184343,3776,2020-05-18
Ghana,187929,3586,2020-05-19
Ghana,192194,4265,2020-05-20
Ghana,193705,1511,2020-05-21
Ghana,194763,1058,2020-05-22
Ghana,198175,3412,2020-05-23
Ghana,202130,3955,2020-05-24
Ghana,203383,1253,2020-05-25
Ghana,205890,2507,2020-05-26
Ghana,208328,2438,2020-05-27
Ghana,211622,3294,2020-05-28
Ghana,214956,3334,2020-05-29
Ghana,218425,3469,2020-05-30
Ghana,219825,1400,2020-05-31
Ghana,220153,328,2020-06-01
Ghana,223065,2912,2020-06-02
Ghana,226741,3676,2020-06-03
Ghana,229093,2352,2020-06-04
Ghana,233734,4641,2020-06-05
Ghana,235443,1709,2020-06-06
Ghana,239395,3952,2020-06-07
Ghana,240204,809,2020-06-08
Ghana,242218,2014,2020-06-09
Ghana,245448,3230,2020-06-10
Ghana,247592,2144,2020-06-11
Ghana,250894,3302,2020-06-12
Ghana,254331,3437,2020-06-13
Ghana,255971,1640,2020-06-14
Ghana,258010,2039,2020-06-15
Ghana,261319,3309,2020-06-16
Ghana,263725,2406,2020-06-17
Ghana,267286,3561,2020-06-18
Ghana,277550,7250,2020-06-21
Ghana,280116,2566,2020-06-22
Ghana,283124,3008,2020-06-23
Ghana,286453,3329,2020-06-24
Ghana,288465,2012,2020-06-25
Ghana,290365,1900,2020-06-26
Ghana,294867,4502,2020-06-27
Ghana,297591,2724,2020-06-28
Ghana,300520,2929,2020-06-29
Ghana,310159,3026,2020-07-02
Ghana,313457,3298,2020-07-03
Ghana,316798,3341,2020-07-04
Ghana,320071,3273,2020-07-05
Ghana,322910,2839,2020-07-06
Ghana,325450,2540,2020-07-07
Ghana,327009,1559,2020-07-08
Ghana,328383,1374,2020-07-09
Ghana,331366,2983,2020-07-10
Ghana,334101,2735,2020-07-11
Ghana,336093,1992,2020-07-12
Ghana,339491,3398,2020-07-13
Ghana,341919,2428,2020-07-14
Ghana,344137,2218,2020-07-15
Ghana,346990,2853,2020-07-16
Ghana,349752,2762,2020-07-17
Ghana,353752,4000,2020-07-18
Ghana,357220,3468,2020-07-19
Ghana,361542,4322,2020-07-20
Ghana,365281,3739,2020-07-21
Ghana,369180,3899,2020-07-22
Ghana,372573,3393,2020-07-23
Ghana,374612,2039,2020-07-24
Ghana,378735,4123,2020-07-25
Ghana,382752,4017,2020-07-26
Ghana,387336,4584,2020-07-27
Ghana,391378,4042,2020-07-28
Ghana,399446,2715,2020-07-31
Ghana,402564,3118,2020-08-01
Ghana,405817,3253,2020-08-02
Ghana,407588,1771,2020-08-03
Ghana,409373,1785,2020-08-04
Ghana,411539,2166,2020-08-05
Ghana,413835,2296,2020-08-06
Ghana,415671,1836,2020-08-07
Ghana,416988,1317,2020-08-08
Ghana,418328,1340,2020-08-09
Ghana,419590,1262,2020-08-10
Ghana,421588,1998,2020-08-11
Ghana,423008,1420,2020-08-12
Ghana,424315,1307,2020-08-13
Ghana,425969,1654,2020-08-14
Ghana,427121,1152,2020-08-15
Ghana,428695,1574,2020-08-16
Ghana,429773,1078,2020-08-17
Ghana,431272,1499,2020-08-18
Ghana,432372,1100,2020-08-19
Ghana,433503,1131,2020-08-20
Ghana,435109,1606,2020-08-21
Ghana,436253,1144,2020-08-22
Ghana,437001,748,2020-08-23
Ghana,437750,749,2020-08-24
Ghana,439246,1496,2020-08-25
Ghana,440984,1738,2020-08-26
Ghana,442185,1201,2020-08-27
Ghana,444797,716,2020-08-30
Ghana,445653,856,2020-08-31
Ghana,446208,555,2020-09-01
Ghana,446867,659,2020-09-02
Ghana,447901,1034,2020-09-03
Ghana,448820,919,2020-09-04
Ghana,449688,868,2020-09-05
Ghana,450872,1184,2020-09-06
Ghana,451590,718,2020-09-07
Ghana,452184,594,2020-09-08
Ghana,453250,1066,2020-09-09
Ghana,454102,852,2020-09-10
Ghana,454912,810,2020-09-11
Ghana,456049,1137,2020-09-12
Ghana,457092,1043,2020-09-13
Ghana,464420,7328,2020-09-14
Ghana,466845,2425,2020-09-15
Ghana,467428,583,2020-09-16
Ghana,469176,1748,2020-09-17
Ghana,470730,1554,2020-09-18
Ghana,472289,1559,2020-09-19
Ghana,474120,1831,2020-09-20
Ghana,475657,1537,2020-09-21
Ghana,476612,955,2020-09-22
Ghana,477192,580,2020-09-23
Ghana,479104,1912,2020-09-24
Ghana,479931,827,2020-09-25
Ghana,480715,784,2020-09-26
Ghana,483540,2825,2020-09-27
Ghana,484310,770,2020-09-28
Ghana,486320,2010,2020-09-29
Ghana,487672,1352,2020-09-30
Ghana,488427,755,2020-10-01
Ghana,493509,741,2020-10-04
Ghana,495625,2116,2020-10-05
Ghana,496425,800,2020-10-06
Ghana,497782,1357,2020-10-07
Ghana,498890,1108,2020-10-08
Ghana,500351,1461,2020-10-09
Ghana,502666,2315,2020-10-10
Ghana,503097,431,2020-10-11
Ghana,503524,427,2020-10-12
Ghana,504558,1034,2020-10-13
Ghana,506606,2048,2020-10-14
Ghana,508081,1475,2020-10-15
Ghana,510074,1993,2020-10-16
Ghana,512523,2449,2020-10-17
Ghana,514422,1899,2020-10-18
Ghana,515890,1468,2020-10-19
Ghana,517264,1374,2020-10-20
Ghana,518785,1521,2020-10-21
Ghana,520835,2050,2020-10-22
Ghana,522285,1450,2020-10-23
Ghana,529381,3953,2020-10-26
Ghana,530421,1040,2020-10-27
Ghana,532197,1776,2020-10-28
Ghana,534364,2167,2020-10-29
